Report Number,Occur Date,Crimes,Latitude,Longitude,Month,Year,Zipcode,Median Listing Price
192741461,10/1/2019,LARCENY-FROM VEHICLE,33.75131,-84.42412,10,2019,30314,122646.58
192741042,10/1/2019,BURGLARY-RESIDENCE,33.75411,-84.44988000000002,10,2019,30314,122646.58
192742568,10/1/2019,LARCENY-NON VEHICLE,33.762440000000005,-84.43552,10,2019,30314,122646.58
192740665,10/1/2019,LARCENY-NON VEHICLE,33.75083,-84.44341,10,2019,30314,122646.58
192752237,10/2/2019,AUTO THEFT,33.74569,-84.41786,10,2019,30314,122646.58
192751461,10/2/2019,AGG ASSAULT,33.750640000000004,-84.43902,10,2019,30314,122646.58
192750180,10/2/2019,AGG ASSAULT,33.75478,-84.4496,10,2019,30314,122646.58
192761326,10/3/2019,AGG ASSAULT,33.76813,-84.41526999999998,10,2019,30314,122646.58
192760673,10/2/2019,BURGLARY-RESIDENCE,33.75731,-84.43385,10,2019,30314,122646.58
192761878,10/2/2019,BURGLARY-RESIDENCE,33.747679999999995,-84.43815,10,2019,30314,122646.58
192762305,10/3/2019,HOMICIDE,33.76385,-84.43455,10,2019,30314,122646.58
192770675,10/3/2019,LARCENY-FROM VEHICLE,33.75604000000001,-84.41521,10,2019,30314,122646.58
192782040,10/5/2019,AGG ASSAULT,33.75478,-84.46013,10,2019,30314,122646.58
192781050,10/4/2019,BURGLARY-RESIDENCE,33.75777,-84.46193000000002,10,2019,30314,122646.58
192781518,10/5/2019,LARCENY-NON VEHICLE,33.75497,-84.41604,10,2019,30314,122646.58
192781761,10/5/2019,LARCENY-FROM VEHICLE,33.746590000000005,-84.41756,10,2019,30314,122646.58
192782102,10/5/2019,LARCENY-FROM VEHICLE,33.75459,-84.41766,10,2019,30314,122646.58
192791180,10/6/2019,LARCENY-FROM VEHICLE,33.756,-84.41629,10,2019,30314,122646.58
192791967,10/6/2019,LARCENY-NON VEHICLE,33.747679999999995,-84.43718,10,2019,30314,122646.58
192790180,10/6/2019,AGG ASSAULT,33.7692,-84.43861,10,2019,30314,122646.58
192790593,10/5/2019,AGG ASSAULT,33.76343,-84.42985,10,2019,30314,122646.58
192791437,10/6/2019,AGG ASSAULT,33.76876,-84.4483,10,2019,30314,122646.58
